sample_id,domain,question,ground_truth_answer,retrieved_context,llm_response_without_rag,llm_response_with_rag,hallucination_label_without_rag,hallucination_label_with_rag,hallucination_type,factual_consistency_score,context_relevance_score,source_support_label,final_target_label
875,geography,Can you answer this: What is the largest ocean on Earth?,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean on Earth.,Indian Ocean.,"Based on the context, the answer is Arctic Ocean.",1,1,factual_error,0.28,0.69,not_supported,1
876,history,Can you answer this: Who was the first man to walk on the Moon?,Neil Armstrong,Neil Armstrong was the first man to walk on the Moon in 1969.,It is Neil Armstrong.,"According to the retrieved context, Neil Armstrong.",0,0,none,0.98,0.8,supported,0
877,literature,Can you answer this: Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote the tragedy 'Romeo and Juliet'.,It is commonly stated as Jane Austen.,"According to the retrieved context, William Shakespeare.",1,0,factual_error,0.26,0.95,supported,0
878,geography,Can you answer this: What is the capital of France?,Paris,Paris is the capital and most populous city of France.,It is commonly stated as Marseille.,"Using the retrieved evidence, Paris.",1,0,unsupported_claim,0.37,0.95,supported,0
879,technology,Can you answer this: What does HTML stand for?,HyperText Markup Language,HTML stands for HyperText Markup Language.,It is HyperText Markup Language.,The context supports this answer: HyperText Markup Language.,0,0,none,0.86,0.89,supported,0
880,technology,"Using reliable knowledge, What does API stand for?",Application Programming Interface,API stands for Application Programming Interface.,Application Programming Interface.,The context supports this answer: Application Programming Interface.,0,0,none,0.96,0.75,supported,0
881,health,Which nutrient is the body's main source of energy?,Carbohydrates,Carbohydrates are the body's main source of energy.,Carbohydrates.,"According to the retrieved context, Carbohydrates.",0,0,none,1.0,0.98,supported,0
882,history,Please answer briefly: Who wrote the Declaration of Independence?,Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.,James Madison.,"Using the retrieved evidence, Thomas Jefferson.",1,0,contradiction,0.39,0.86,supported,0
883,technology,"Using reliable knowledge, What is an operating system?",Software that manages computer hardware and software,An operating system is software that manages computer hardware and software resources.,"Software that manages computer hardware and software, but it is sometimes confused with A physical cable.","Based on the provided context, the correct answer is Software that manages computer hardware and software.",1,0,partially_correct,0.52,0.87,supported,0
884,chemistry,Can you answer this: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,It is 7.,"Using the retrieved evidence, 7.",0,0,none,0.95,0.92,supported,0
885,chemistry,Can you answer this: What is H2O commonly called?,Water,H2O is the chemical formula for water.,The answer is Water.,"Based on the context, the answer is Oxygen.",0,1,contradiction,0.19,0.49,partially_supported,1
886,literature,Please answer briefly: Who wrote 'Pride and Prejudice'?,Jane Austen,Jane Austen wrote 'Pride and Prejudice'.,The answer is Virginia Woolf.,"Using the retrieved evidence, Jane Austen.",1,0,unsupported_claim,0.12,0.77,supported,0
887,science,What gas do plants absorb from the atmosphere?,Carbon dioxide,Plants absorb carbon dioxide from the atmosphere during photosynthesis.,Hydrogen.,"According to the retrieved context, Carbon dioxide.",1,0,factual_error,0.33,0.78,supported,0
888,technology,I need the correct answer: What does AI stand for?,Artificial Intelligence,AI stands for Artificial Intelligence.,It is Artificial Intelligence.,"Using the retrieved evidence, Artificial Intelligence.",0,0,none,0.92,0.89,supported,0
889,technology,Please answer briefly: What does HTML stand for?,HyperText Markup Language,HTML stands for HyperText Markup Language.,Home Tool Markup Language.,"Based on the context, the answer is HighText Markdown Language.",1,1,unsupported_claim,0.27,0.59,partially_supported,1
890,geography,I need the correct answer: What is the smallest continent by land area?,Australia,Australia is the smallest continent by land area.,It is Australia.,"Using the retrieved evidence, Australia.",0,0,none,0.97,0.85,supported,0
891,chemistry,What is H2O commonly called?,Water,H2O is the chemical formula for water.,The answer is Water.,"Using the retrieved evidence, Water.",0,0,none,0.91,0.86,supported,0
892,literature,I need the correct answer: Who wrote '1984'?,George Orwell,George Orwell wrote the novel '1984'.,Ernest Hemingway.,"Based on the context, George Orwell, although some sources mention Aldous Huxley.",1,1,partially_correct,0.61,0.83,not_supported,1
893,literature,"Using reliable knowledge, Who wrote 'Pride and Prejudice'?",Jane Austen,Jane Austen wrote 'Pride and Prejudice'.,Jane Austen.,"Using the retrieved evidence, Jane Austen.",0,0,none,1.0,0.73,supported,0
894,technology,Please answer briefly: What does URL stand for?,Uniform Resource Locator,URL stands for Uniform Resource Locator.,The answer is Universal Response Link.,"Based on the provided context, the correct answer is Uniform Resource Locator.",1,0,contradiction,0.05,0.79,supported,0
895,science,I need the correct answer: What planet is known as the Red Planet?,Mars,Mars is often called the Red Planet because iron oxide on its surface gives it a reddish appearance.,"Mars, but it is sometimes confused with Venus.","Based on the provided context, the correct answer is Mars.",1,0,partially_correct,0.66,0.73,supported,0
896,biology,I need the correct answer: What organelle is known as the powerhouse of the cell?,Mitochondria,Mitochondria are known as the powerhouse of the cell.,"Mitochondria, but it is sometimes confused with Nucleus.","According to the retrieved context, Mitochondria.",1,0,partially_correct,0.61,0.92,supported,0
897,science,Can you answer this: What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,It is The nucleus.,The context supports this answer: The nucleus.,0,0,none,0.98,0.73,supported,0
898,finance,"Using reliable knowledge, What is a stock?",A share of ownership in a company,A stock represents a share of ownership in a company.,It is A share of ownership in a company.,"Based on the provided context, the correct answer is A share of ownership in a company.",0,0,none,0.86,0.94,supported,0
899,geography,I need the correct answer: Which continent is the Sahara Desert located on?,Africa,The Sahara Desert is located in Africa.,The answer is Africa.,"Using the retrieved evidence, Africa.",0,0,none,0.91,0.78,supported,0
900,physics,Can you answer this: What force keeps planets in orbit around the Sun?,Gravity,Gravity keeps planets in orbit around the Sun.,The answer is Gravity.,"Based on the provided context, the correct answer is Gravity.",0,0,none,0.97,0.74,supported,0
901,finance,Please answer briefly: What is a budget?,A plan for income and expenses,A budget is a plan that tracks income and expenses.,The answer is A bank branch.,"According to the retrieved context, A plan for income and expenses.",1,0,unsupported_claim,0.39,0.87,supported,0
902,health,Please answer briefly: Which organ pumps blood through the body?,The heart,The heart pumps blood throughout the body.,It is commonly stated as The lungs.,"Based on the provided context, the correct answer is The heart.",1,0,contradiction,0.11,0.88,supported,0
903,finance,"Using reliable knowledge, What is a stock?",A share of ownership in a company,A stock represents a share of ownership in a company.,It is commonly stated as A wage payment.,"Based on the provided context, the correct answer is A share of ownership in a company.",1,0,factual_error,0.11,0.89,supported,0
904,chemistry,I need the correct answer: What is H2O commonly called?,Water,H2O is the chemical formula for water.,"Water, but it is sometimes confused with Steam.","Based on the context, the answer is Steam.",1,1,contradiction,0.41,0.51,partially_supported,1
905,health,"Using reliable knowledge, Which blood cells help fight infection?",White blood cells,White blood cells help the body fight infection.,Red blood cells.,"Based on the provided context, the correct answer is White blood cells.",1,0,unsupported_claim,0.25,0.84,supported,0
906,health,"Using reliable knowledge, What is hypertension?",High blood pressure,Hypertension is another term for high blood pressure.,It is High blood pressure.,The context supports this answer: High blood pressure.,0,0,none,0.96,0.8,supported,0
907,geography,What is the largest ocean on Earth?,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean on Earth.,Atlantic Ocean.,The context supports this answer: Pacific Ocean.,1,0,factual_error,0.2,0.77,supported,0
908,geography,Please answer briefly: What is the capital of Canada?,Ottawa,Ottawa is the capital of Canada.,The answer is Vancouver.,"Using the retrieved evidence, Ottawa.",1,0,factual_error,0.32,0.79,supported,0
909,physics,Can you answer this: What device measures temperature?,Thermometer,A thermometer measures temperature.,"Thermometer, but it is sometimes confused with Voltmeter.",The context supports this answer: Thermometer.,1,0,partially_correct,0.49,0.94,supported,0
910,finance,Can you answer this: What does GDP stand for?,Gross Domestic Product,"GDP stands for Gross Domestic Product, a measure of the total value of goods and services produced.","Gross Domestic Product, but it is sometimes confused with General Domestic Price.","According to the retrieved context, Gross Domestic Product.",1,0,partially_correct,0.5,0.81,supported,0
911,geography,What is the smallest continent by land area?,Australia,Australia is the smallest continent by land area.,The answer is Antarctica.,The context supports this answer: Australia.,1,0,factual_error,0.26,0.83,supported,0
912,geography,I need the correct answer: Which continent is the Sahara Desert located on?,Africa,The Sahara Desert is located in Africa.,It is commonly stated as Europe.,"Based on the context, the answer is Europe.",1,1,unsupported_claim,0.46,0.88,partially_supported,1
913,geography,Which river is the longest in the world?,The Nile,The Nile is commonly cited as the world's longest river.,The answer is Mississippi River.,"Based on the provided context, the correct answer is The Nile.",1,0,contradiction,0.16,0.79,supported,0
914,health,Please answer briefly: Which nutrient is the body's main source of energy?,Carbohydrates,Carbohydrates are the body's main source of energy.,"Carbohydrates, but it is sometimes confused with Minerals.","Based on the provided context, the correct answer is Carbohydrates.",1,0,partially_correct,0.46,0.79,supported,0
915,finance,Please answer briefly: What is a budget?,A plan for income and expenses,A budget is a plan that tracks income and expenses.,The answer is A plan for income and expenses.,The context supports this answer: A plan for income and expenses.,0,0,none,0.99,0.79,supported,0
916,chemistry,What is NaCl commonly known as?,Salt,NaCl is commonly known as salt.,The answer is Chlorine.,"Based on the provided context, the correct answer is Salt.",1,0,unsupported_claim,0.26,0.85,supported,0
917,health,Please answer briefly: Which nutrient is the body's main source of energy?,Carbohydrates,Carbohydrates are the body's main source of energy.,It is Carbohydrates.,The context supports this answer: Carbohydrates.,0,0,none,0.96,0.98,supported,0
918,geography,I need the correct answer: What is the capital of Canada?,Ottawa,Ottawa is the capital of Canada.,Ottawa.,"According to the retrieved context, Ottawa.",0,0,none,1.0,0.8,supported,0
919,geography,I need the correct answer: What is the smallest continent by land area?,Australia,Australia is the smallest continent by land area.,"Australia, but it is sometimes confused with Europe.","Based on the provided context, the correct answer is Australia.",1,0,partially_correct,0.68,0.82,supported,0
920,technology,What does AI stand for?,Artificial Intelligence,AI stands for Artificial Intelligence.,The answer is Automatic Internet.,"According to the retrieved context, Artificial Intelligence.",1,0,factual_error,0.08,0.99,supported,0
921,science,"Using reliable knowledge, What gas do plants absorb from the atmosphere?",Carbon dioxide,Plants absorb carbon dioxide from the atmosphere during photosynthesis.,The answer is Nitrogen.,"According to the retrieved context, Carbon dioxide.",1,0,unsupported_claim,0.2,0.77,supported,0
922,chemistry,Can you answer this: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,6.,The context supports this answer: 7.,1,0,contradiction,0.15,0.97,supported,0
923,chemistry,Can you answer this: What is the pH of pure water at room temperature?,7,Pure water has a pH of 7 at room temperature.,8.,"Using the retrieved evidence, 7.",1,0,contradiction,0.09,0.92,supported,0
924,health,"Using reliable knowledge, Which blood cells help fight infection?",White blood cells,White blood cells help the body fight infection.,The answer is White blood cells.,"According to the retrieved context, White blood cells.",0,0,none,0.98,0.82,supported,0
925,health,Can you answer this: What is the normal unit used to measure body temperature?,Degrees Celsius or Fahrenheit,Body temperature is commonly measured in degrees Celsius or degrees Fahrenheit.,The answer is Kilograms.,"According to the retrieved context, Degrees Celsius or Fahrenheit.",1,0,factual_error,0.25,0.95,supported,0
926,finance,What is a stock?,A share of ownership in a company,A stock represents a share of ownership in a company.,It is commonly stated as A type of loan.,The context supports this answer: A share of ownership in a company.,1,0,unsupported_claim,0.18,0.73,supported,0
927,history,I need the correct answer: Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc was known as the Maid of Orléans.,It is Joan of Arc.,"According to the retrieved context, Joan of Arc.",0,0,none,1.0,0.88,supported,0
928,literature,Who wrote 'The Odyssey'?,Homer,Homer is traditionally credited with writing 'The Odyssey'.,It is Homer.,"Using the retrieved evidence, Homer.",0,0,none,0.97,0.98,supported,0
929,technology,"Using reliable knowledge, What is an operating system?",Software that manages computer hardware and software,An operating system is software that manages computer hardware and software resources.,Software that manages computer hardware and software.,"Based on the provided context, the correct answer is Software that manages computer hardware and software.",0,0,none,0.9,0.75,supported,0
930,science,I need the correct answer: What process do plants use to make food?,Photosynthesis,Plants use photosynthesis to make food.,Fermentation.,"Using the retrieved evidence, Photosynthesis.",1,0,contradiction,0.21,0.89,supported,0
931,biology,Please answer briefly: What gas do humans need to breathe to survive?,Oxygen,Humans need oxygen to survive.,"Oxygen, but it is sometimes confused with Carbon dioxide.","Based on the provided context, the correct answer is Oxygen.",1,0,partially_correct,0.52,0.98,supported,0
932,health,Which blood cells help fight infection?,White blood cells,White blood cells help the body fight infection.,It is commonly stated as Nerve cells.,"Based on the context, the answer is Red blood cells.",1,1,factual_error,0.32,0.77,partially_supported,1
933,health,Can you answer this: What mineral is important for strong bones?,Calcium,Calcium is important for strong bones and teeth.,Iron.,"Using the retrieved evidence, Calcium.",1,0,contradiction,0.1,0.74,supported,0
934,biology,What gas do humans need to breathe to survive?,Oxygen,Humans need oxygen to survive.,It is Oxygen.,"Using the retrieved evidence, Oxygen.",0,0,none,0.88,0.99,supported,0
935,finance,Can you answer this: What is inflation?,A general rise in prices,Inflation is a general rise in prices over time.,A fall in prices.,"Based on the provided context, the correct answer is A general rise in prices.",1,0,contradiction,0.3,0.99,supported,0
936,physics,I need the correct answer: What is the speed of light in vacuum?,"About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","It is commonly stated as About 1,000 km/s.","The context supports this answer: About 299,792 km/s.",1,0,factual_error,0.18,0.86,supported,0
937,chemistry,What is the chemical symbol for gold?,Au,The chemical symbol for gold is Au.,Go.,The context supports this answer: Au.,1,0,contradiction,0.31,0.93,supported,0
938,finance,Can you answer this: What does GDP stand for?,Gross Domestic Product,"GDP stands for Gross Domestic Product, a measure of the total value of goods and services produced.",The answer is Global Development Product.,"Using the retrieved evidence, Gross Domestic Product.",1,0,contradiction,0.02,0.74,supported,0
939,biology,Can you answer this: What organelle is known as the powerhouse of the cell?,Mitochondria,Mitochondria are known as the powerhouse of the cell.,Golgi bodies.,"According to the retrieved context, Mitochondria.",1,0,contradiction,0.25,0.84,supported,0
940,science,Can you answer this: What star is at the center of our solar system?,The Sun,The Sun is the star at the center of our solar system.,Mars.,The context supports this answer: The Sun.,1,0,contradiction,0.13,0.97,supported,0
941,health,What is the normal unit used to measure body temperature?,Degrees Celsius or Fahrenheit,Body temperature is commonly measured in degrees Celsius or degrees Fahrenheit.,Degrees Celsius or Fahrenheit.,"Based on the provided context, the correct answer is Degrees Celsius or Fahrenheit.",0,0,none,0.89,0.79,supported,0
942,history,Can you answer this: Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc was known as the Maid of Orléans.,"Joan of Arc, but it is sometimes confused with Queen Victoria.","According to the retrieved context, Joan of Arc.",1,0,partially_correct,0.58,0.81,supported,0
943,technology,"Using reliable knowledge, What does HTML stand for?",HyperText Markup Language,HTML stands for HyperText Markup Language.,The answer is Hyperlink Text Main Language.,"Based on the provided context, the correct answer is HyperText Markup Language.",1,0,contradiction,0.22,0.95,supported,0
944,geography,I need the correct answer: Mount Everest lies on the border of Nepal and which country?,China,Mount Everest lies on the border between Nepal and China.,It is China.,The context supports this answer: China.,0,0,none,0.99,0.77,supported,0
945,physics,"Using reliable knowledge, What is the speed of light in vacuum?","About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","About 299,792 km/s, but it is sometimes confused with About 150,000 km/s.","The context supports this answer: About 299,792 km/s.",1,0,partially_correct,0.48,0.82,supported,0
946,geography,Can you answer this: What is the capital of Canada?,Ottawa,Ottawa is the capital of Canada.,The answer is Toronto.,The context supports this answer: Ottawa.,1,0,factual_error,0.3,0.82,supported,0
947,health,Please answer briefly: Which blood cells help fight infection?,White blood cells,White blood cells help the body fight infection.,White blood cells.,"Using the retrieved evidence, White blood cells.",0,0,none,0.94,0.97,supported,0
948,chemistry,Can you answer this: What is H2O commonly called?,Water,H2O is the chemical formula for water.,Water.,"Using the retrieved evidence, Water.",0,0,none,0.99,0.85,supported,0
949,geography,I need the correct answer: What is the capital of Japan?,Tokyo,Tokyo is the capital of Japan.,The answer is Tokyo.,The context supports this answer: Tokyo.,0,0,none,0.94,0.73,supported,0
950,biology,"Using reliable knowledge, What organelle is known as the powerhouse of the cell?",Mitochondria,Mitochondria are known as the powerhouse of the cell.,It is commonly stated as Golgi bodies.,"According to the retrieved context, Mitochondria.",1,0,contradiction,0.04,0.81,supported,0
951,health,What is hypertension?,High blood pressure,Hypertension is another term for high blood pressure.,It is High blood pressure.,"According to the retrieved context, High blood pressure.",0,0,none,0.94,0.93,supported,0
952,finance,"Using reliable knowledge, What is a stock?",A share of ownership in a company,A stock represents a share of ownership in a company.,The answer is A type of loan.,"Using the retrieved evidence, A share of ownership in a company.",1,0,contradiction,0.14,0.87,supported,0
953,history,Can you answer this: Who was the first President of the United States?,George Washington,George Washington served as the first President of the United States from 1789 to 1797.,It is George Washington.,"Using the retrieved evidence, George Washington.",0,0,none,0.96,0.96,supported,0
954,geography,What is the capital of Japan?,Tokyo,Tokyo is the capital of Japan.,It is Tokyo.,"Based on the provided context, the correct answer is Tokyo.",0,0,none,0.96,0.81,supported,0
955,history,I need the correct answer: In which year did World War II end?,1945,World War II ended in 1945.,The answer is 1945.,"According to the retrieved context, 1945.",0,0,none,0.99,0.94,supported,0
956,finance,I need the correct answer: What is profit?,Revenue minus costs,Profit is what remains when costs are subtracted from revenue.,The answer is A business debt.,The context supports this answer: Revenue minus costs.,1,0,unsupported_claim,0.17,0.98,supported,0
957,history,I need the correct answer: Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc was known as the Maid of Orléans.,Joan of Arc.,"According to the retrieved context, Joan of Arc.",0,0,none,0.98,0.94,supported,0
958,technology,Please answer briefly: What is an operating system?,Software that manages computer hardware and software,An operating system is software that manages computer hardware and software resources.,It is Software that manages computer hardware and software.,"Based on the provided context, the correct answer is Software that manages computer hardware and software.",0,0,none,0.85,0.79,supported,0
959,physics,"Using reliable knowledge, What is the speed of light in vacuum?","About 299,792 km/s","The speed of light in vacuum is about 299,792 kilometers per second.","About 299,792 km/s.","Using the retrieved evidence, About 299,792 km/s.",0,0,none,0.99,0.83,supported,0
960,literature,Who wrote 'Romeo and Juliet'?,William Shakespeare,William Shakespeare wrote the tragedy 'Romeo and Juliet'.,William Shakespeare.,"Using the retrieved evidence, William Shakespeare.",0,0,none,0.98,0.79,supported,0
961,finance,I need the correct answer: What is interest in banking?,The cost of borrowing money or reward for saving,Interest is the cost of borrowing money or the reward for saving.,The answer is A tax refund.,The context supports this answer: The cost of borrowing money or reward for saving.,1,0,factual_error,0.26,0.8,supported,0
962,geography,Can you answer this: What is the capital of Japan?,Tokyo,Tokyo is the capital of Japan.,Kyoto.,"Using the retrieved evidence, Tokyo.",1,0,factual_error,0.12,0.76,supported,0
963,technology,Please answer briefly: What is cloud computing?,Delivering computing services over the internet,Cloud computing means delivering computing services over the internet.,It is commonly stated as Storing files only on paper.,"According to the retrieved context, Delivering computing services over the internet.",1,0,unsupported_claim,0.27,0.92,supported,0
964,technology,Please answer briefly: What does AI stand for?,Artificial Intelligence,AI stands for Artificial Intelligence.,It is commonly stated as Advanced Information.,"According to the retrieved context, Artificial Intelligence.",1,0,unsupported_claim,0.03,0.85,supported,0
965,chemistry,Can you answer this: What is H2O commonly called?,Water,H2O is the chemical formula for water.,It is commonly stated as Oxygen.,"Based on the context, the answer is Hydrogen.",1,1,unsupported_claim,0.25,0.5,not_supported,1
966,health,Which blood cells help fight infection?,White blood cells,White blood cells help the body fight infection.,Red blood cells.,The context supports this answer: White blood cells.,1,0,unsupported_claim,0.23,0.82,supported,0
967,history,Who wrote the Declaration of Independence?,Thomas Jefferson,Thomas Jefferson was the principal author of the Declaration of Independence.,The answer is Thomas Jefferson.,"Based on the provided context, the correct answer is Thomas Jefferson.",0,0,none,0.96,0.99,supported,0
968,finance,What is a loan?,Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",The answer is Borrowed money that must be repaid.,"Based on the provided context, the correct answer is Borrowed money that must be repaid.",0,0,none,1.0,0.86,supported,0
969,geography,"Using reliable knowledge, What is the smallest continent by land area?",Australia,Australia is the smallest continent by land area.,Antarctica.,The context supports this answer: Australia.,1,0,factual_error,0.07,0.79,supported,0
970,science,"Using reliable knowledge, What star is at the center of our solar system?",The Sun,The Sun is the star at the center of our solar system.,"The Sun, but it is sometimes confused with Earth.","Based on the provided context, the correct answer is The Sun.",1,0,partially_correct,0.61,0.97,supported,0
971,health,"Using reliable knowledge, What is the normal unit used to measure body temperature?",Degrees Celsius or Fahrenheit,Body temperature is commonly measured in degrees Celsius or degrees Fahrenheit.,The answer is Volts.,"Based on the context, the answer is Volts.",1,1,factual_error,0.27,0.56,not_supported,1
972,science,What is the center of an atom called?,The nucleus,The center of an atom is called the nucleus.,It is commonly stated as The proton.,The context supports this answer: The nucleus.,1,0,unsupported_claim,0.25,0.93,supported,0
973,geography,Can you answer this: What is the capital of France?,Paris,Paris is the capital and most populous city of France.,The answer is Marseille.,The context supports this answer: Paris.,1,0,unsupported_claim,0.25,0.96,supported,0
974,health,Which blood cells help fight infection?,White blood cells,White blood cells help the body fight infection.,The answer is Nerve cells.,The context supports this answer: White blood cells.,1,0,contradiction,0.22,0.85,supported,0
975,technology,Can you answer this: What does API stand for?,Application Programming Interface,API stands for Application Programming Interface.,It is Application Programming Interface.,The context supports this answer: Application Programming Interface.,0,0,none,0.94,0.99,supported,0
976,health,I need the correct answer: Which organ pumps blood through the body?,The heart,The heart pumps blood throughout the body.,The answer is The heart.,"Based on the context, The heart, although some sources mention The kidneys.",0,1,partially_correct,0.66,0.62,partially_supported,1
977,geography,Can you answer this: What is the smallest continent by land area?,Australia,Australia is the smallest continent by land area.,The answer is Europe.,The context supports this answer: Australia.,1,0,contradiction,0.33,0.9,supported,0
978,finance,What does GDP stand for?,Gross Domestic Product,"GDP stands for Gross Domestic Product, a measure of the total value of goods and services produced.",It is commonly stated as General Domestic Price.,"Based on the context, Gross Domestic Product, although some sources mention Gross Domestic Profit.",1,1,partially_correct,0.63,0.82,partially_supported,1
979,science,Please answer briefly: What planet is known as the Red Planet?,Mars,Mars is often called the Red Planet because iron oxide on its surface gives it a reddish appearance.,The answer is Mercury.,"Using the retrieved evidence, Mars.",1,0,unsupported_claim,0.24,0.79,supported,0
980,biology,"Using reliable knowledge, What organelle is known as the powerhouse of the cell?",Mitochondria,Mitochondria are known as the powerhouse of the cell.,It is Mitochondria.,"According to the retrieved context, Mitochondria.",0,0,none,0.99,0.86,supported,0
981,literature,I need the correct answer: Who wrote '1984'?,George Orwell,George Orwell wrote the novel '1984'.,The answer is George Orwell.,"Using the retrieved evidence, George Orwell.",0,0,none,0.99,0.76,supported,0
982,technology,I need the correct answer: What does RAM stand for?,Random Access Memory,RAM stands for Random Access Memory.,Random Access Memory.,"Based on the provided context, the correct answer is Random Access Memory.",0,0,none,0.96,0.76,supported,0
983,geography,I need the correct answer: What is the capital of Japan?,Tokyo,Tokyo is the capital of Japan.,The answer is Tokyo.,"Using the retrieved evidence, Tokyo.",0,0,none,0.99,0.93,supported,0
984,health,"Using reliable knowledge, What mineral is important for strong bones?",Calcium,Calcium is important for strong bones and teeth.,The answer is Calcium.,"Using the retrieved evidence, Calcium.",0,0,none,0.95,0.72,supported,0
985,geography,I need the correct answer: What is the capital of Canada?,Ottawa,Ottawa is the capital of Canada.,Montreal.,"According to the retrieved context, Ottawa.",1,0,factual_error,0.28,0.8,supported,0
986,health,Can you answer this: Which blood cells help fight infection?,White blood cells,White blood cells help the body fight infection.,Red blood cells.,"Using the retrieved evidence, White blood cells.",1,0,factual_error,0.09,0.84,supported,0
987,science,What gas do plants absorb from the atmosphere?,Carbon dioxide,Plants absorb carbon dioxide from the atmosphere during photosynthesis.,The answer is Oxygen.,"Based on the provided context, the correct answer is Carbon dioxide.",1,0,contradiction,0.08,0.83,supported,0
988,chemistry,"Using reliable knowledge, What is NaCl commonly known as?",Salt,NaCl is commonly known as salt.,The answer is Chlorine.,"According to the retrieved context, Salt.",1,0,contradiction,0.35,0.96,supported,0
989,finance,What is inflation?,A general rise in prices,Inflation is a general rise in prices over time.,"A general rise in prices, but it is sometimes confused with A fall in prices.","Based on the context, A general rise in prices, although some sources mention A fall in prices.",1,1,partially_correct,0.76,0.61,not_supported,1
990,history,Can you answer this: Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc was known as the Maid of Orléans.,Joan of Arc.,"Based on the provided context, the correct answer is Joan of Arc.",0,0,none,0.92,0.95,supported,0
991,technology,I need the correct answer: What does AI stand for?,Artificial Intelligence,AI stands for Artificial Intelligence.,It is commonly stated as Automated Interface.,The context supports this answer: Artificial Intelligence.,1,0,unsupported_claim,0.39,0.87,supported,0
992,health,What is the normal unit used to measure body temperature?,Degrees Celsius or Fahrenheit,Body temperature is commonly measured in degrees Celsius or degrees Fahrenheit.,Volts.,"Based on the provided context, the correct answer is Degrees Celsius or Fahrenheit.",1,0,contradiction,0.13,0.84,supported,0
993,finance,I need the correct answer: What is inflation?,A general rise in prices,Inflation is a general rise in prices over time.,A fixed price system.,"According to the retrieved context, A general rise in prices.",1,0,contradiction,0.05,0.93,supported,0
994,finance,Please answer briefly: What is a loan?,Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",It is commonly stated as A free grant.,"Based on the context, the answer is A stock dividend.",1,1,unsupported_claim,0.18,0.78,not_supported,1
995,finance,Please answer briefly: What is a recession?,A significant decline in economic activity,A recession is a significant decline in economic activity.,The answer is A rapid rise in profits.,"Using the retrieved evidence, A significant decline in economic activity.",1,0,contradiction,0.28,0.84,supported,0
996,chemistry,Please answer briefly: What is H2O commonly called?,Water,H2O is the chemical formula for water.,The answer is Hydrogen.,The context supports this answer: Water.,1,0,factual_error,0.02,0.94,supported,0
997,geography,Can you answer this: What is the capital of Japan?,Tokyo,Tokyo is the capital of Japan.,"Tokyo, but it is sometimes confused with Kyoto.","Based on the provided context, the correct answer is Tokyo.",1,0,partially_correct,0.51,0.75,supported,0
998,history,The Great Wall is primarily located in which country?,China,The Great Wall is primarily located in China.,Pakistan.,"Based on the context, the answer is Bhutan.",1,1,unsupported_claim,0.32,0.53,not_supported,1
999,finance,I need the correct answer: What is a stock?,A share of ownership in a company,A stock represents a share of ownership in a company.,It is commonly stated as A type of loan.,"Based on the provided context, the correct answer is A share of ownership in a company.",1,0,unsupported_claim,0.28,0.82,supported,0
1000,biology,What is the basic unit of life?,The cell,The cell is the basic structural and functional unit of life.,It is commonly stated as The atom.,The context supports this answer: The cell.,1,0,unsupported_claim,0.13,0.81,supported,0
1001,health,Can you answer this: Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,Exposure to sunlight helps the body produce vitamin D.,The answer is Vitamin A.,"Using the retrieved evidence, Vitamin D.",1,0,factual_error,0.37,0.89,supported,0
1002,geography,What is the largest ocean on Earth?,Pacific Ocean,The Pacific Ocean is the largest and deepest ocean on Earth.,Pacific Ocean.,"Based on the provided context, the correct answer is Pacific Ocean.",0,0,none,0.94,0.83,supported,0
1003,health,"Using reliable knowledge, What is hypertension?",High blood pressure,Hypertension is another term for high blood pressure.,The answer is Low blood sugar.,"According to the retrieved context, High blood pressure.",1,0,contradiction,0.11,0.82,supported,0
1004,technology,"Using reliable knowledge, What does API stand for?",Application Programming Interface,API stands for Application Programming Interface.,It is Application Programming Interface.,"Using the retrieved evidence, Application Programming Interface.",0,0,none,0.97,0.93,supported,0
1005,chemistry,What is H2O commonly called?,Water,H2O is the chemical formula for water.,It is commonly stated as Hydrogen.,"Based on the provided context, the correct answer is Water.",1,0,factual_error,0.24,0.92,supported,0
1006,finance,"Using reliable knowledge, What is a loan?",Borrowed money that must be repaid,"A loan is borrowed money that must be repaid, usually with interest.",It is Borrowed money that must be repaid.,The context supports this answer: Borrowed money that must be repaid.,0,0,none,0.85,0.98,supported,0
1007,finance,Please answer briefly: What is interest in banking?,The cost of borrowing money or reward for saving,Interest is the cost of borrowing money or the reward for saving.,A tax refund.,"Based on the context, the answer is A government subsidy.",1,1,factual_error,0.37,0.55,not_supported,1
